date,ticker,open,high,low,close,volume,rv20_yz,rv60_yz,rv20_c2c,rv20_pctile
2026-01-26,SMH,398.4,400.74,396.22,398.82,4326900,0.268932,0.316392,0.257075,37.7
2026-01-27,SMH,403.9,409.39,402.21,407.25,6145600,0.272421,0.315574,0.263565,38.89
2026-01-28,SMH,415.34,418.49,413.13,416.63,7641900,0.271457,0.31695,0.267768,38.49
2026-01-29,SMH,417.44,420.6,403.17,417.52,9352500,0.295324,0.322773,0.266164,46.03
2026-01-30,SMH,411.28,416.64,400.58,403.46,9029000,0.315822,0.327426,0.299413,55.16
2026-02-02,SMH,398.86,412.04,398.43,407.97,5946300,0.317761,0.325121,0.278399,55.56
2026-02-03,SMH,411.03,412.58,390.52,397.68,12188600,0.329518,0.329396,0.296443,58.33
2026-02-04,SMH,394.67,396.71,374.24,382.02,16908500,0.35068,0.336093,0.319079,62.3
2026-02-05,SMH,379.14,388.08,375.56,381.07,12007800,0.358893,0.333025,0.318375,65.87
2026-02-06,SMH,389.2,403.08,387.19,401.65,13460300,0.368886,0.33328,0.364104,67.86
2026-02-09,SMH,398.91,409.69,397.0,406.65,5915200,0.371284,0.334292,0.355162,68.25
2026-02-10,SMH,408.18,408.8,401.83,404.76,5645300,0.36951,0.333673,0.355929,68.25
2026-02-11,SMH,413.84,418.08,406.36,414.78,6211200,0.380409,0.334838,0.364936,73.41
2026-02-12,SMH,418.33,420.04,405.28,406.11,7379100,0.381095,0.326408,0.372955,73.81
2026-02-13,SMH,408.15,412.07,402.49,407.72,6481600,0.36919,0.323747,0.366753,68.25
2026-02-17,SMH,402.71,410.87,397.77,407.51,7312700,0.375291,0.32434,0.365385,71.03
2026-02-18,SMH,411.44,417.04,408.72,412.55,5839900,0.368442,0.323683,0.35385,67.86
2026-02-19,SMH,408.71,411.0,405.56,410.2,4056400,0.365387,0.313979,0.340783,67.06
2026-02-20,SMH,407.66,416.83,407.18,415.03,5715800,0.364365,0.307318,0.342884,66.67
2026-02-23,SMH,413.57,417.7,409.28,412.88,5842800,0.365526,0.30679,0.342416,67.86
2026-02-24,SMH,417.22,421.67,411.67,419.16,7828900,0.369845,0.301631,0.345185,70.63
2026-02-25,SMH,424.35,427.94,423.68,426.16,7714500,0.368438,0.300852,0.342437,69.05
2026-02-26,SMH,423.72,423.72,405.56,412.01,14811300,0.374228,0.305849,0.356079,73.02
2026-02-27,SMH,403.26,409.24,401.88,406.37,9049100,0.366254,0.308878,0.358954,67.86
2026-03-02,SMH,397.25,407.36,396.92,406.39,11490200,0.363907,0.313358,0.337248,65.48
2026-03-03,SMH,391.36,394.54,385.93,391.06,13768900,0.382973,0.32405,0.361323,77.38
2026-03-04,SMH,396.25,401.23,393.1,399.1,8767200,0.370013,0.325321,0.358569,70.24
2026-03-05,SMH,396.06,401.11,386.75,395.35,11793700,0.358259,0.328881,0.327987,63.1
2026-03-06,SMH,384.97,392.67,378.53,380.56,12423200,0.371268,0.337024,0.357145,70.24
2026-03-09,SMH,375.76,395.36,374.16,394.37,16338100,0.365493,0.341761,0.327859,65.48
2026-03-10,SMH,394.0,403.88,394.0,397.33,13687700,0.366341,0.34287,0.325681,66.67
2026-03-11,SMH,400.01,404.39,398.69,401.03,6024900,0.366719,0.339614,0.327444,66.67
2026-03-12,SMH,395.46,396.06,386.74,388.13,9845200,0.35075,0.338927,0.332565,59.13
2026-03-13,SMH,392.32,396.33,386.07,387.33,7636100,0.351192,0.339874,0.325845,59.52
2026-03-16,SMH,395.14,399.48,392.64,393.92,10317600,0.359511,0.341906,0.33233,63.89
2026-03-17,SMH,397.16,397.61,393.22,396.88,6646300,0.355491,0.34044,0.333925,61.51
2026-03-18,SMH,396.96,399.69,393.47,393.67,8372400,0.351076,0.333961,0.330733,59.52
2026-03-19,SMH,384.0,397.53,381.44,394.92,12674800,0.365329,0.339978,0.331036,66.27
2026-03-20,SMH,394.11,395.73,380.87,384.74,12846800,0.371599,0.340868,0.33758,74.21
2026-03-23,SMH,393.36,399.28,389.44,391.36,12742300,0.385919,0.34522,0.345501,80.56
2026-03-24,SMH,388.03,396.88,387.62,394.59,6177200,0.380949,0.346671,0.34165,78.97
2026-03-25,SMH,398.36,402.5,395.74,399.02,7388700,0.380839,0.347606,0.338065,78.97
2026-03-26,SMH,391.92,392.68,380.3,380.84,14806200,0.375408,0.350003,0.356053,75.79
2026-03-27,SMH,377.79,381.31,373.01,374.25,11811400,0.371982,0.35146,0.357636,74.6
2026-03-30,SMH,377.62,379.24,359.86,362.53,12198200,0.377895,0.355711,0.370373,78.57
2026-03-31,SMH,368.74,383.5,368.1,383.4,13834900,0.362501,0.354759,0.409276,65.08
2026-04-01,SMH,388.26,396.63,386.38,391.97,10805400,0.364329,0.353759,0.410535,65.87
2026-04-02,SMH,378.07,393.5,378.0,392.32,8505800,0.380275,0.361737,0.409321,80.16
2026-04-06,SMH,393.75,397.1,391.9,395.98,4186100,0.359168,0.361687,0.385227,64.68
2026-04-07,SMH,394.71,400.09,389.64,399.9,6672500,0.350847,0.362377,0.365721,59.52
2026-04-08,SMH,423.16,424.99,414.99,422.92,10184300,0.403361,0.380802,0.414852,87.3
2026-04-09,SMH,423.17,430.65,422.63,430.31,6018200,0.402824,0.380273,0.417412,86.9
2026-04-10,SMH,434.45,441.54,434.45,436.88,11224200,0.398428,0.380872,0.39637,85.32
2026-04-13,SMH,434.75,443.64,433.6,443.34,6549800,0.395931,0.380601,0.396355,85.32
2026-04-14,SMH,448.0,452.1,444.24,452.0,6932400,0.391586,0.375511,0.397289,85.32
2026-04-15,SMH,450.7,453.33,435.15,453.0,9155700,0.409335,0.380226,0.397623,90.08
2026-04-16,SMH,450.73,457.09,447.77,454.8,6450700,0.410578,0.378324,0.393981,90.87
2026-04-17,SMH,462.8,464.58,459.5,464.16,7184600,0.394899,0.377822,0.396361,85.71
2026-04-20,SMH,464.64,465.74,458.65,463.96,3935100,0.388377,0.376768,0.376986,84.13
2026-04-21,SMH,466.29,468.43,462.24,464.66,5598600,0.378688,0.376643,0.376816,79.76
2026-04-22,SMH,471.05,477.42,467.17,476.83,7835200,0.378007,0.378157,0.381756,79.76
2026-04-23,SMH,480.4,488.08,475.19,481.85,10619700,0.380713,0.378679,0.381723,82.14
2026-04-24,SMH,499.51,509.59,495.46,506.44,12614300,0.387059,0.384794,0.345612,85.32
2026-04-27,SMH,509.19,510.1,497.75,506.26,9040200,0.385379,0.380849,0.329772,84.92
2026-04-28,SMH,488.19,496.66,483.29,491.21,12664800,0.407691,0.38557,0.326718,92.86
2026-04-29,SMH,496.35,499.58,492.34,499.58,6007900,0.404342,0.383887,0.289327,92.06
2026-04-30,SMH,504.71,507.79,495.02,506.72,8401600,0.405803,0.380267,0.287466,92.46
2026-05-01,SMH,504.21,511.99,502.25,509.82,5308300,0.375946,0.373483,0.285182,78.17
2026-05-04,SMH,512.47,513.15,501.15,506.79,6867500,0.379346,0.371896,0.292916,81.35
2026-05-05,SMH,515.38,526.2,514.12,522.69,8624600,0.376846,0.369803,0.299985,78.97
2026-05-06,SMH,537.77,549.88,532.35,549.76,15262900,0.339411,0.373767,0.290145,57.54
2026-05-07,SMH,545.77,549.7,535.92,540.1,10905200,0.346363,0.374904,0.309437,58.73
2026-05-08,SMH,551.58,566.79,549.0,566.54,8553700,0.35132,0.373661,0.335347,61.51
2026-05-11,SMH,570.26,578.06,566.8,576.31,12680900,0.349476,0.372341,0.335618,59.13
2026-05-12,SMH,565.01,570.4,542.67,561.25,17720800,0.381971,0.380734,0.362664,86.51
2026-05-13,SMH,571.8,576.2,560.12,572.46,9586700,0.370256,0.381491,0.36249,75.79
2026-05-14,SMH,570.84,581.17,567.75,578.34,8458700,0.369767,0.381192,0.361398,75.0
2026-05-15,SMH,560.31,565.88,552.91,556.34,13009600,0.393908,0.387387,0.401978,92.06
2026-05-18,SMH,565.48,567.21,536.87,546.16,12317500,0.410805,0.393419,0.412583,99.6
2026-05-19,SMH,534.94,553.34,527.87,543.96,11905800,0.432414,0.399521,0.414234,99.6
2026-05-20,SMH,552.75,564.72,551.65,564.66,8892200,0.431982,0.399327,0.42277,99.21
2026-05-21,SMH,561.02,570.6,557.62,567.88,8293800,0.431266,0.399664,0.422809,98.81
2026-05-22,SMH,574.27,582.5,572.86,576.32,7535000,0.412853,0.396809,0.394479,98.41
2026-05-26,SMH,591.58,603.97,589.1,602.14,10008500,0.418639,0.397394,0.414992,98.41
2026-05-27,SMH,611.94,612.3,584.93,595.5,11209000,0.403035,0.398943,0.396405,94.84
2026-05-28,SMH,595.81,604.74,587.31,599.83,7625000,0.407055,0.390816,0.395537,96.03
2026-05-29,SMH,606.03,611.79,597.12,598.93,7596100,0.404678,0.390994,0.396801,95.24
2026-06-01,SMH,596.1,613.43,593.09,607.81,8649000,0.408577,0.389394,0.397329,96.43
2026-06-02,SMH,619.6,632.57,614.47,632.21,8083500,0.41144,0.383545,0.407451,97.62
2026-06-03,SMH,640.8,642.77,623.91,637.9,10179900,0.416154,0.38216,0.400671,98.02
2026-06-04,SMH,613.0,634.78,604.61,627.53,10462900,0.443625,0.395265,0.380773,99.6
2026-06-05,SMH,605.09,607.0,569.69,569.69,22038000,0.470228,0.407141,0.523988,99.6
2026-06-08,SMH,597.21,606.2,588.54,598.16,13823900,0.495662,0.416476,0.525109,99.6
